Age,Experience,Hours,label
39,13,40,0
50,13,13,0
38,9,40,0
53,7,40,0
28,13,40,0
37,14,40,0
49,5,16,0
52,9,45,1
31,14,50,1
42,13,40,1
37,10,80,1
30,13,40,1
23,13,30,0
32,12,50,0
40,11,40,1
34,4,45,0
25,9,35,0
32,9,40,0
38,7,50,0
43,14,45,1
40,16,60,1
54,9,20,0
35,5,40,0
43,7,40,0
59,9,40,0
56,13,40,1
19,9,40,0
39,9,80,0
49,9,40,0
23,12,52,0
20,10,44,0
45,13,40,0
30,10,40,0
22,10,15,0
48,7,40,0
21,10,40,0
19,9,25,0
31,10,38,1
48,12,40,0
31,5,43,0
53,13,40,0
24,13,50,0
49,9,40,0
25,9,35,0
57,13,40,1
53,9,38,0
44,14,40,0
41,11,40,0
29,11,43,0
25,10,40,0
18,9,30,0
47,15,60,1
50,13,55,1
47,9,60,0
43,10,40,1
46,3,40,0
35,11,40,0
41,9,48,0
30,9,40,0
30,13,40,0
48,9,40,0
42,16,45,1
29,10,58,0
36,9,40,0
28,10,40,0
53,9,40,1
49,10,50,1
19,10,32,0
31,13,40,0
29,13,70,1
23,10,40,0
79,10,20,0
27,9,40,0
40,12,40,0
18,7,22,0
31,4,40,0
18,9,30,0
52,13,40,0
46,9,40,0
59,9,48,0
44,9,40,1
53,9,35,0
49,9,40,1
33,14,50,0
30,5,40,0
43,16,50,1
57,11,40,0
37,10,40,0
28,10,25,0
30,9,35,0
34,13,40,1
29,10,50,0
48,16,60,1
37,10,48,1
48,12,40,0
32,9,40,0
76,14,40,1
44,13,60,1
47,14,50,0
20,10,40,0
29,9,40,0
32,9,40,1
30,7,40,0
31,9,40,0
42,9,40,0
24,13,40,0
38,15,40,1
56,9,50,1
28,10,25,0
36,9,40,0
53,5,50,0
56,10,50,0
49,11,40,1
55,10,56,0
22,9,41,0
21,10,40,0
40,13,60,0
30,13,40,0
29,13,50,1
19,10,35,0
47,13,40,1
20,10,28,0
31,12,40,1
39,10,40,0
28,12,60,0
24,9,40,0
38,9,35,0
37,13,50,0
46,12,36,0
38,14,40,1
43,9,60,0
27,11,35,0
20,10,20,0
49,10,40,1
61,9,40,0
27,10,40,0
19,10,30,0
45,11,40,1
70,10,40,0
31,9,30,0
22,10,24,0
36,9,24,0
64,7,40,0
47,10,38,0
34,9,40,0
33,13,40,0
21,9,35,0
48,9,46,0
23,13,40,0
71,10,2,0
29,9,60,0
42,13,50,0
25,9,40,0
44,14,40,0
28,9,40,0
45,14,40,1
36,10,40,0
39,12,42,0
46,14,40,0
18,7,16,0
66,11,20,0
27,9,40,0
28,9,40,0
51,10,40,1
27,13,50,0
28,13,40,1
27,9,25,0
21,9,40,0
34,9,40,0
18,9,12,0
33,13,65,0
44,10,38,1
43,10,40,0
30,10,45,0
40,4,40,1
37,10,42,1
34,9,40,0
41,13,40,0
31,14,50,0
58,16,1,1
38,10,28,0
24,10,40,0
41,13,40,0
47,10,45,0
41,13,24,0
23,3,40,0
36,10,40,0
40,14,55,1
35,14,40,1
24,9,40,0
26,14,40,0
51,13,50,1
42,10,40,0
37,9,35,0
18,7,40,0
36,13,36,1
35,9,60,0
58,9,35,1
17,7,12,0
44,9,40,0
37,9,40,1
35,10,40,0
60,9,40,0
54,4,40,1
37,13,60,1
50,12,40,0
38,13,50,0
45,13,55,0
25,6,40,0
31,10,40,0
90,9,40,0
54,9,20,0
53,1,35,0
18,9,40,0
66,9,50,0
75,11,20,0
65,9,40,0
35,7,40,0
41,9,38,0
25,10,42,0
33,10,40,0
28,15,55,1
59,9,40,0
40,10,38,0
41,13,50,1
38,14,70,1
23,9,40,0
40,13,40,1
41,9,20,0
24,12,50,0
38,10,40,0
56,9,35,0
58,9,45,1
32,9,34,0
40,12,60,1
45,9,40,0
41,15,40,1
42,13,40,0
59,6,30,0
19,10,40,0
58,10,20,0
42,9,40,1
20,9,40,0
32,9,30,0
45,11,45,0
50,4,40,0
36,13,40,0
45,9,60,0
17,7,12,0
59,10,40,0
26,7,40,0
37,10,75,1
64,9,40,1
33,13,45,0
33,9,40,1
61,9,40,1
17,5,24,0
50,14,98,0
27,14,35,0
30,9,40,0
43,9,40,0
44,10,40,1
35,10,40,0
25,10,40,0
24,10,48,1
22,13,15,0
42,10,40,1
34,12,45,0
60,13,42,0
21,9,40,0
57,14,40,1
41,15,60,1
50,10,45,0
25,13,40,0
50,4,40,0
36,13,45,0
31,9,40,0
29,13,56,0
21,10,45,0
27,13,40,0
65,9,16,0
37,13,60,0
24,9,40,0
38,9,80,0
48,13,40,1
21,10,25,0
31,9,45,1
55,9,40,1
24,10,40,0
43,9,40,0
26,12,45,0
46,12,33,0
35,12,40,1
41,10,54,1
26,13,40,0
34,14,35,1
36,13,40,1
22,10,15,0
24,10,40,0
77,10,40,0
22,3,40,0
29,10,40,0
62,9,24,0
39,9,40,0
43,10,50,0
35,9,45,0
29,7,40,0
76,14,10,0
63,9,45,0
43,10,50,1
58,9,40,0
66,9,55,0
41,10,45,0
26,13,40,0
47,11,40,0
55,6,40,0
53,9,40,0
17,3,48,0
30,9,40,0
49,14,60,0
19,9,30,0
45,9,40,0
26,12,40,0
38,11,40,1
36,9,40,1
33,9,20,0
22,10,40,0
43,13,42,0
56,12,25,0
31,13,25,0
33,13,40,1
26,9,40,0
33,13,40,1
46,7,30,0
38,9,40,1
65,7,40,0
40,11,40,1
42,9,35,0
26,5,40,0
36,6,24,0
62,14,40,1
43,13,45,0
43,13,45,1
22,9,55,0
28,9,40,0
56,10,45,0
22,12,15,0
57,13,45,1
39,9,40,0
26,10,15,0
17,7,10,0
40,11,38,1
45,9,40,0
44,9,40,0
20,10,10,0
33,9,40,0
23,10,40,0
46,14,30,0
38,9,50,0
54,9,40,0
46,3,45,0
25,10,40,0
46,10,40,0
36,10,40,0
23,9,25,0
29,9,40,0
44,10,6,1
19,10,16,0
19,9,40,0
35,9,40,1
27,13,50,0
46,12,40,0
34,13,45,1
34,9,35,0
44,10,40,0
45,10,40,0
25,13,55,1
52,13,50,1
20,10,40,0
28,10,40,0
50,13,40,1
34,11,64,0
28,4,40,0
41,14,65,1
28,9,40,0
46,9,25,0
32,10,50,0
41,10,24,0
24,9,40,0
33,10,40,0
46,16,60,1
31,10,40,0
35,8,50,1
52,2,40,0
30,7,19,0
34,7,40,0
34,9,40,0
20,10,30,0
17,7,18,0
32,13,40,1
29,9,40,0
33,6,35,0
25,9,60,0
36,14,40,0
23,9,72,0
63,9,40,1
47,14,40,0
40,13,40,0
30,12,25,1
27,10,40,0
33,14,50,1
34,9,60,0
34,10,40,0
23,10,40,0
42,10,40,0
29,13,40,0
45,9,28,0
24,9,40,0
44,10,40,1
27,5,40,0
20,10,35,0
44,9,40,0
51,9,40,0
20,9,40,0
19,9,40,0
45,10,55,1
60,9,40,1
42,12,40,1
44,9,40,1
40,11,40,1
30,9,40,0
38,10,50,0
23,9,60,0
44,12,40,0
54,9,40,0
32,13,50,0
50,2,40,0
24,13,20,0
37,9,60,0
52,9,40,0
38,10,40,0
49,14,45,1
30,13,16,1
60,10,40,1
35,9,40,0
30,9,60,0
67,11,24,0
46,13,40,0
17,5,6,0
22,10,30,0
27,6,40,0
23,9,35,0
33,12,45,0
43,10,20,0
28,13,20,0
41,9,40,0
25,10,20,0
59,9,45,0
45,13,40,0
38,13,60,1
40,9,35,0
46,9,40,0
35,12,60,0
34,9,25,0
33,13,20,0
41,9,36,0
20,10,40,0
23,3,40,0
26,10,35,0
23,9,40,0
62,9,40,0
52,10,40,0
58,10,42,0
25,13,40,0
24,13,40,0
19,10,8,0
43,10,40,0
47,9,40,0
39,9,40,0
49,11,42,0
32,11,45,0
34,10,50,1
28,9,45,0
25,10,20,0
34,13,50,1
38,13,80,1
50,9,50,1
24,10,50,0
37,10,45,1
44,10,58,1
28,10,40,0
42,13,40,1
74,10,9,0
38,9,50,0
44,14,40,0
44,7,46,0
26,9,40,0
36,9,40,0
41,12,50,1
67,15,48,1
39,8,50,0
57,2,30,0
29,11,40,0
31,13,45,0
44,10,40,0
29,16,40,0
30,10,40,0
27,9,40,0
27,10,50,0
